"credit_band","loan_size_category","total_loans","defaults","default_rate"
"Excellent","50K–150K","48","28","58.33"
"Excellent","Over 150K","54","27","50.00"
"Excellent","Under 50K","17","6","35.29"
"Fair","Under 50K","15","9","60.00"
"Fair","Over 150K","55","30","54.55"
"Fair","50K–150K","44","23","52.27"
"Good","Under 50K","13","8","61.54"
"Good","50K–150K","45","20","44.44"
"Good","Over 150K","63","26","41.27"
"Poor","Over 150K","66","34","51.52"
"Poor","50K–150K","57","28","49.12"
"Poor","Under 50K","23","8","34.78"
